name,legacy_id,legacy_prereqs,description,exertion,technicality,flexibility,balance,strength,breathing,muscle_1,muscle_2,muscle_3,muscle_stretched,origin
Chair Pose Cycle,Y0001,T0002,"Start standing in balance pose /slowly form chair pose with arms up, deep squat,  back straigt and angled forward/Once pose is established, cycle slowlybetween deep pose and standing every 20 seconds /deep breathing throughout ",3,3,1,3,3,true,Quadriceps,Shoulders,Abdominals,,Yoga
Leg Shake,M0001,M0007,"Simple exercise meant to introduce some irreverence /start standing in balance pose /Balance on one leg, shake the other out (not too vigorousl) /Cycle alternating legs",1,2,2,4,0,,Quadriceps,Hamstrings,,,other
Neck Role,M0002,M0007,"Start standing in balance pose /put rolled up jacket or Towel behind neck for support (if desired) /role neck around 3-4 times counter-clockwise, then clockwise, maintain balance pose and bend knees a little bit more (if desired) /repeat till time",1,1,3,1,0,,Quadriceps,,,,other
Windmills ,M0003,M0007,"Start standing in balance pose /raise arms perpendicular to body and  /start slowly windmilling both arms forward or backward in narrow circles slowly progressing to wider circles /change direction (forward, backward) every 20 seconds ",2,2,1,1,2,,Shoulders,Quadriceps,,,other
Windmills Squat,M0004,T0001,"Start standing in balance pose /Attain a half squat position /execute windmills M0003/ After 40 seconds (including direction change), back to balance pose for 10 seconds /cycle",3,2,1,2,3,,Quadriceps,Shoulders,,,other
Windmill Lunge,M0005,T0002,"Start in standing balance pose /lunge forward with one or the other leg /in lunge pose (with core engaged, etc), do windmills from M0003 /at direction change, back to standing balance pose, then lunge with other leg and do windmills in other direction (backward or forward)",4,3,2,4,3,,Quadriceps,Shoulders,Abdominals,,other
Arm High Stretch,M0006,M0007,Start in standing balance pose /bend knees a bit more /stretch both arms over head /grab onewrist with the other hand and lean to the side of the grabbing hand while pulling up on the wrist /breath a couple times here then exhale back up /do the other side /repeat until time,2,2,4,2,1,,Quadriceps,,,Latissimus Dorsi,other
Foot Sweep,J0001,J0004,"Start in standing balance pose /bend knees a bit more /hold arms in-front of body as if gripping an opponents lapels /sweep one foot in front of the other, with the blade of the foot dragging barely on the ground /repeat each leg until time",3,3,1,3,1,,Quadriceps,,,,Judo
Balance Pose,M0007,,"Intro to starting position for most exercises /stand with knees slightly bent, feet shoulder distance apart, hips forward (core engaged), arms bent up slightly for balance /instruct to maintain knee bend, engage and unengage core to familiarize with feeling",1,1,1,2,1,,,,,,other
Half Squats,T0001,T0003,"Start standing in balance pose /feet hip width apart, toes forward, arms up for balance /keeping knees from going over toes, bend knees halfway between standing and thighs parralel to ground, butt out /cylcle through squats, breath out squatting, in standing slowly until time",2,2,1,2,2,,Quadriceps,,,,Personal Training
Squats,T0002,"T0001, M0027",Start in standing balance pose /execute regular squats /include breaks,4,3,1,2,3,,Quadriceps,,,,Personal Training
Intro to Squat,T0003,M0007,"Start standing in balance pose /instruct proper squat technique /highlight proper angles, foot position, butt position, etc.",2,2,1,1,2,,Quadriceps,,,,Personal Training
One-leg reaches,T0004,H0005,"Start in standing balance pose /place hands on hips /balance on one leg /raise the other with knee bent so femur is as close parralel to ground as you can get /extend knee, then retract /rotate leg to side, extend knee, then retract /reach leg back behind you, then return to standing /repeat with other leg /cycle until time",3,3,3,4,2,,abductor,glutes,,,Personal Training
One-leg stand,H0005,M0007,Start in standing balance pose /lift one leg up wit knee bent as high as you can /hold for 20 secnds /return to standing /repeat with other leg /cycle until time,2,1,1,3,1,,,,,,Physical Therapy
Warrior One,Y0002,T0004,"Start in standing balance pose /cycle through warrior one poses on each side until time, including breathing and back bend",3,3,3,3,2,true,quadriceps,glutes,,,Yoga
Warrior Two,Y0003,T0004,"Start in standing balance pose /cycle through warrior two poses on each side until time, including breathing ",4,3,3,3,2,,quadriceps,glutes,,,Yoga
Standing Pigeon,Y0005,Y0001,"Start in standing balance pose /move to chair pose without raising arms /put one leg on top of the other, so that outside of lower lifted leg is resting just above the knee of standing leg /bend standing knee into proper one-legged squat, as deep as possible /keep arms in balance pose position /back to standing, then other leg, cycle until time",3,4,4,4,3,,quadriceps,glutes,,IT Bands,Yoga
Standing Quad Stretch,M0008,H0005,"Start in standing balance pose /bend one leg at knee and catch with same side hand /pull foot as close to body (behind, not to the side) /use both hands if needed /cycle through with other side until time",2,2,4,3,2,,quadriceps,,,quadriceps,other
Standing Hamstring Curls,T0005,H0005,"Start in standing balance pose /stand on one leg /bend the knee of lifted leg so lower leg goes as high as it can behind body, keeping upper leg parralel with that of standing leg /do 10-20 sets /cycle with other leg until time",2,1,2,3,2,,Hamstrings,quadriceps,,,Personal Training
Behind back shoulder stretch,M0008,M0007,"Start in standing balance pose /lift both arms over head /grab one elbow with the other hand and pull towards head or, if possible, behind head /hold stretch for 15 seconds /cycle through with other side untiltime",1,2,4,1,1,,,,,shoulders,other
Upper back & neck releiver,M0009,M0007,Start in standing balance pose with feet double hip distance /lift both arms over head and stretch strait up and hold for 15 seconds /bend all the way down so head is hanging limp between legs /cross arms below head so they are not touching the ground /hold for 20 seconds /stand up slowly breathing VERY deeply to prevent light-headedness /cycle through till time,2,2,2,2,1,true,,,,Adductor,other
Basic hamstring stretch,T0006,M0016,"Start in standing balance pose /place one straight out infront, heal resting on ground /place hands on top of straight leg /proper squat motion down (with butt out and back straight) until feeling the stretch /stand then cycle with other leg until time",1,2,4,2,1,,quadriceps,,,hamstrings,Personal Training
Leg-cross hamstring stretch,M0011,T0006,"Start in standing balance pose /cross one leg in front of other, keeping it touching the leg and both legs slightly bent /keeping back strait, bend down until stretch /can rest hands on upper leg for support / touch toes if possible /stand up and cycle through until time",2,2,4,3,1,,,,,hamstrings,other
One-leg roundhouse?,J0002,H0005,"Start in standing balance pose /lift one leg, knee bent, as high as you can, angled across the body /slowly rotate the him so the leg moves outward to the side of the body /extend knee and land the foot behind the body /this should be one fluid motion /return to standing balance pose and cycle through with other leg until time ",3,3,3,5,2,,abductor,,,adductor,Judo
Standing Wrist Stretches,M0012,M0007,"Start in standing balance pose /hold arms so hands are a couple feet from face /grab one hand with the other, close to the wrist joint, in such a way that you can twist in one directoin /hold stretch /then grab differently and twist and hold in the other direction /put fingers on fingers with hands at perpindicular angle and stretch hand back /then stretch hand forward /repeat with other wrist /before time, shake hands out",1,3,4,1,1,,,,,,Judo
Tai Chi Starting Form,C0001,M0007,"Start standing in balance pose /SLOWLY with arms at sides lift oneheel, then whole foot with bent knee 6 inches off ground /with lifted leg, step out somewhat behind body then slowly put foot down, toes first, then heel, so foot line is perpindicular to other foot (you will eventually be turning 90 degrees) /keep shoulders squared and arms relaxed at sides /once facing new direction, slowly raise wrists to shoulder height, keeping hands and wrists relaxed and elbows slightly bent /lower forearms and bend knees at same time until in half squat, keep arms engaged so forearms are parallel to ground, elbows back toward body /repeat with other leg",2,4,1,1,1,,,,,,Tai Chi
Parting the Horse's Mane 1,C0002,C0001,Start standing in balance pose /cycle through first parts of movement / focus on form instruction /this should repeat for learning purposes,2,4,1,2,1,,,,,,Tai Chi
Parting the Horse's Mane 2,C0003,C0002,Start standing in balance pose /cycle through leg transitions part of movement / focus on form /this should repeat for learning purposes,2,4,2,2,1,,,,,,Tai Chi
Parting the Horse's Mane 3,C0004,C0003,"Start standing in balance pose /cycle through form at normal pace (ostensibly, client has learned form now)/ focus on form /this should repeat for learning purposes",2,4,2,3,1,,,,,,Tai Chi
Stork Spreads its Wings 1,C0005,C0001,"Start standing in balance pose /cycle through movement, focus on form /this should repeat for learning purposes",2,4,1,2,1,,,,,,Tai Chi
Stork Spreads its Wings 2,C0006,C0005,Start standing in balance pose /cycle through movement at normal pace /,3,4,2,2,1,,,,,,Tai Chi
Playing the Lute 1,C0007,C0001,Start standing in balance pose /cycle through first parts of movement / focus on form instruction /this should repeat for learning purposes,2,4,1,2,1,,,,,,Tai Chi
Playing the Lute 2,C0008,C0007,Start standing in balance pose /cycle through movement at normal pace ,3,4,2,3,1,,,,,,Tai Chi
Single Whip 1,C0009,C0001,Start standing in balance pose /cycle through first parts of movement / focus on form instruction ,2,4,1,2,1,,,,,,Tai Chi
Single Whip 2,C0010,C0009,Start standing in balance pose /cycle through second parts of movement / focus on form instruction /this should repeat for learning purposes,2,4,2,2,1,,,,,,Tai Chi
Single Whip 3,C0011,C0010,Start standing in balance pose /cycle through movement at normal pace ,3,4,2,3,1,,,,,,Tai Chi
Full and Empty,C0012,C0001,"Start standing in balance pose with arms at sides /inhale and raise arms, rounded, as if carrying a yoga ball /imagine self filling up with bright light or colorful liquid /exhale, lowering arms and imagine emptying self of light.liquid /repeat until time",1,2,1,1,1,true,,,,,Tai Chi
Horse Stance,K0001,T0001,"stand with your feet wider then shoulder width apart, with the feet parallel / and then you bend your knees and lower your body down /include instruction on hand motions or other motions",3,2,1,2,1,,quadriceps,,,,Kung Fu
Forward Stance,K0002,T0001,The weight is on the front leg. The front knee is bent and the back leg is straigt / include instruction on hand motions or other motions,3,2,1,2,1,,quadriceps,,,,Kung Fu
Cat stance,K0003,K0002,"All the weight is on the back leg. The front leg rests on the toe or the ball of the foot. The front foot resembles the way a cat will put its paw out to take a step, with no weight on it, and this is how we get the name /can do slow, controled kicks /switch sides until time",3,3,2,4,1,,quadriceps,,,,Kung Fu
Twist Stance with crouch,K0004,K0003,"The front foot is turned outward and the back foot rests on the ball of the foot. the stance can either be crouched down like in the picture above or higher /move up and down, putting different feet forward, until time",4,3,2,4,2,,quadriceps,,,,Kung Fu
Crane Stance,K0005,K0002,"stand balanced on one leg /raise other leg so knee is high against torso /raise arms, one fist up, the other out to the side / can include high kicks /switch sides until time",3,3,2,4,2,,,,,,Kung Fu
Squats with Arm Row,M0013,T0001,"Start standing in balance pose /proper squat down and put arms straight out in front, with hands in a grip (as if holding handles) /straigten up and pull arms back so you can feel your upper back muscles squeeeze the spine /cycle SLOWLY until time",3,2,1,2,3,,quadriceps,latissimus dorsi,shoulders,,other
One-leg heal raises,M0015,"T0004, M0017, M0030 ",Start standing in balance pose /balance on one leg /do heal raise repetitions (5-10) then switch legs / can use toe of raised foot for balance /rest and repeat until time,2,4,2,5,4,,Calves,,,,other
Circling Hands,C0013,C0001,"Start standing in balance pose /one leg out a few feet out /hands about a foot apart make a circling motion, so that circle is parallel to the ground /switch sides and repeat until time",2,2,1,1,1,,quadriceps,,,,Tai Chi
Chair pose twists,Y0006,Y0001,Start standing in balance pose /move to chair pose /hands in prayer postion /twist so one elbow is on side of opposite knee /hold for a while then switch /back and forth till time,4,4,3,4,3,true,quadriceps,,,Latissimus Dorsi,Yoga
Warrior One Twist,Y0007,Y0002,Start standing in balance pose /move to warrior one /put hands in prayer position /twist so one elbow is on outside of opposoite knee /cycle to other side /repeat until time,4,4,4,5,3,true,quadriceps,,,Latissimus Dorsi,Yoga
Twisting Triangle,Y0008,"Y0002,Y0003","Start standing in balance pose /get in triangle position with arms out /dip to one side, try to get hand on foot /hold for 15-30 seconds /dip to other side",3,3,3,4,2,true,,abdominals,,,Yoga
Half Moon,Y0009,M0007,"Start standing in balance pose /raise arms straight above  head, as high as they will go/ slowly bend to one side and hold for 20-30 seconds /back to straight, hold for 10-20 seconds /bend to other side / cycle until time",1,1,3,3,2,true,,,,abdominals,Yoga
Balance Shift,M0016,M0007,Start standing in balance pose /spread legs wider than shoulders /shift weight to one leg and slightly bend /hold for 20-30 seconds /shift to other leg and hold /cycle until time,2,1,1,2,1,,quadriceps,,,,other
Heal Raises,M0017,M0029,Start standing in balance pose /raise up on both toes /hold for ten seconds /go back down then repeat until time,1,1,2,3,3,,calves,,,,other
Balance Back Twist,M0018,M0007,"Start standing in balance pose /put one leg in front of the other, roughly a couple feet apart, feet facing forward /twsit upper body placing forward foot hand on opposite hip, twisting neck to look behind /repeat other side and cycle until time",1,2,3,3,1,,,,,abdominals,other
Balance Spins,M0019,M0007,"Start standing in balance pose /SLOWLY /step one foot over and in front of the other a cuple feet, with toe pointed 45 degrees out /bring other foot back behind forward foot turning body with that /then repeat first footfall /Go slowly, and focus on maintaining engaged core ",1,3,1,4,1,,,,,,other
Osoto Gari Sweep,J0003,"J0002, J0004","Start standing in balance pose /assume basic judo pose /excecute osoto gari sweep five times on one side, then five on the other /cycle until time",3,4,2,4,1,,,,,,Judo
Half Lunge,M0020,M0016,Start standing in balance pose /lunge forward partway with one leg /hold for 30 seconds /cycle with other side until time,3,2,1,3,1,,quadriceps,,,,other
Balance Pose Open Breath,M0021,M0007, Start standing in balance pose /on inhale raise arms above head as high as you can /on exhale lower in a circular motion /maintain balance pose with a bit more bent knee and cycle through till time,1,1,1,1,1,true,shoulders,,,,other
Burpees!,T0007,"T0008, T0009, T0010",,5,2,1,3,4,,Pectorals,quadriceps,calves,,Personal Training
Jumps! Side-to-side,T0008,T0002,,4,2,1,3,3,,quadriceps,calves,,,Personal Training
Jumps! Forward-and-Back,T0009,T0002,,4,2,1,3,3,,quadriceps,calves,,,Personal Training
Pushups,T0010,,,4,2,1,1,4,,Pectorals,,,,Personal Training
Basic Judo Pose,J0004,M0007,,1,2,1,3,1,,,,,,Judo
Side Leg lean-bend,M0022,M0016,"Start in standing balance pose /spread legs wider (double shoulder width) /move one leg back a foots width /bend knee of back leg (120 degrees), keeping front knee straight and back aligned with front knee /SLOWLY bend and straigten back knee for 30 seconds, inhale on bend, exhale on straighten /switch to other side and cycle until time",2,2,1,2,3,true,quadriceps,,,,other
Balance Pose otherditation,M0023,M0007,"Start in standing balance pose /proceed through guided, standing meditation,  ",1,1,1,1,1,true,,,,,Taoism
Balance Pose Row,M0024,M0007,"Start in standing balance pose /bend knees a bit more /use both arms in a high row motion, going slow, feel squeeze in back muscles, time with regular, deep breathing",1,1,1,1,2,true,Latissimus Dorsi,,,,other
Plank,T0011,T0010,"execute plank, with breaks every minute",4,2,1,1,3,,pectorals,abdominals,,,Personal Training
Full Squats,M0025,M0026,"Start in standing balance pose /slowly get into regular squat then keep going into full squat or as far down as you can go /back up SLOWLY /cycle through slowly, breaks every minute",4,4,2,3,3,,quadriceps,,,,other
"Full Squats on Toes, Chair assist",M0026,T0002,"Start in standing balance pose / bend at waist with hands on chair seat, slowly get bend knees to full squat or as far down as you can go /back up SLOWLY /cycle through slowly, breaks every minute",3,2,2,2,2,,quadriceps,,,,other
"Squats, Chair assist",M0027,T0001,"Start in standing balance pose /execute regular squats using back of chair with one hand, or two chairs with two hands for balance support/ regular breaks",3,2,1,2,2,,quadriceps,,,,other
Full Squats on Toes,M0028,"M0026, M0025",Start in standing balance pose /balance on toes(balls of feet) /SLOWLY squat all the way down or as far as you can go /slowly ascend /breaks every minute,4,5,2,5,4,,,,,,other
"Heal Raises, Chair Assist",M0029,M0016,Start standing in balance pose /hold on to back of chair for balance /raise up on both toes /hold for ten seconds /go back down then repeat until time,2,2,2,2,3,,quadriceps,,,,
"One-leg heal Raises, Chair assist",M0030,"M0029, H0005",Start standing in balance pose /hold on to back of chair for balance /balance on one leg /do heal raise repetitions (5-10) then switch legs / can use toe of raised foot for balance /rest and repeat until time,3,2,2,2,4,,,,,,
Knee Hug,M0031,,,2,2,3,4,1,,,,,,
Alternating ankle grabs,M0032,,,2,2,3,4,1,,,,,,
Hamstretch Flow,M0033,,,2,2,4,3,1,,,,,,
Flashdance!,M0034,,,4,4,1,3,2,,,,,,
